file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP3,0.0,30.7068125,data_paired,-46.04737870400521,-46.92710842957368,4.895472061056361,10.337093657721462
F2BJRLP1,0.0,25.309125,data_paired,-46.11164991604109,-45.91359956336744,3.962812587699698,8.136214248627653
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,data_paired,-43.847256944444446,-53.548797607421875,3.8811693907260953,11.443148868500742
F2BJRLP2,0.0,28.6474375,data_paired,-45.53418957242583,-45.772619051962906,3.608874033865559,7.3477504890658665
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,data_paired,-43.25749092009685,-52.352379725529595,2.7196525242301144,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,data_paired,-44.83780504993557,-50.92786884307861,2.5541133245990655,12.358243745435463
